date_time,temperature,rain
2026-03-22 00:35:06,-16.2,0
2026-03-22 00:35:08,-15.8,0
2026-03-22 00:35:10,-15.3,0
2026-03-22 00:35:12,-14.9,0
2026-03-22 00:35:14,-14.4,0
2026-03-22 00:35:16,-13.9,0
2026-03-22 00:35:18,-13.4,0
2026-03-22 00:35:20,-12.9,0
2026-03-22 00:35:22,-12.3,0
2026-03-22 00:35:24,-11.8,0
2026-03-22 00:35:26,-11.2,0
2026-03-22 00:35:28,-10.6,0
2026-03-22 00:35:30,-10.0,0
2026-03-22 00:35:32,-9.4,0
2026-03-22 00:35:34,-8.8,0
2026-03-22 00:35:36,-8.1,0
2026-03-22 00:35:38,-7.5,0
2026-03-22 00:35:40,-6.8,0
2026-03-22 00:35:42,-6.2,0
2026-03-22 00:35:44,-5.5,0
2026-03-22 00:35:46,-4.8,0
2026-03-22 00:35:48,-4.2,0
2026-03-22 00:35:50,-3.5,0
2026-03-22 00:35:52,-2.8,0
2026-03-22 00:35:54,-2.1,0
2026-03-22 00:35:56,-1.4,0
2026-03-22 00:35:58,-0.7,0
2026-03-22 00:36:00,0.0,0
2026-03-22 00:36:02,0.7,0
2026-03-22 00:36:04,1.4,0
2026-03-22 00:36:06,2.1,0
2026-03-22 00:36:08,2.8,0
2026-03-22 00:36:10,3.5,0
2026-03-22 00:36:12,4.2,0
2026-03-22 00:36:14,4.8,0
2026-03-22 00:36:16,5.5,0
2026-03-22 00:36:18,6.2,0
2026-03-22 00:36:20,6.8,0
2026-03-22 00:36:22,7.5,0
2026-03-22 00:36:24,8.1,0
2026-03-22 00:36:26,8.8,0
2026-03-22 00:36:28,9.4,0
2026-03-22 00:36:30,10.0,0
2026-03-22 00:36:32,10.6,0
2026-03-22 00:36:34,11.2,0
2026-03-22 00:36:36,11.8,0
2026-03-22 00:36:38,12.3,0
2026-03-22 00:36:40,12.9,1
2026-03-22 00:36:42,13.4,1
2026-03-22 00:36:44,13.9,1
2026-03-22 00:36:46,14.4,1
2026-03-22 00:36:48,14.9,1
2026-03-22 00:36:50,15.3,1
2026-03-22 00:36:52,15.8,1
2026-03-22 00:36:54,16.2,1
2026-03-22 00:36:56,16.6,1
2026-03-22 00:36:58,17.0,1
2026-03-22 00:37:00,17.3,1
2026-03-22 00:37:02,17.7,1
2026-03-22 00:37:04,18.0,1
2026-03-22 00:37:06,18.3,1
2026-03-22 00:37:08,18.5,1
2026-03-22 00:37:10,18.8,1
2026-03-22 00:37:12,19.0,1
2026-03-22 00:37:14,19.2,1
2026-03-22 00:37:16,19.4,1
2026-03-22 00:37:18,19.6,1
2026-03-22 00:37:20,19.7,1
2026-03-22 00:37:22,19.8,1
2026-03-22 00:37:24,19.9,1
2026-03-22 00:37:26,19.9,1
2026-03-22 00:37:28,20.0,1
2026-03-22 00:37:31,20.0,1
2026-03-22 00:37:32,20.0,1
2026-03-22 00:37:34,19.9,1
2026-03-22 00:37:36,19.9,1
2026-03-22 00:37:38,19.8,1
2026-03-22 00:37:40,19.7,1
2026-03-22 00:37:42,19.6,1
2026-03-22 00:37:44,19.4,1
2026-03-22 00:37:46,19.2,1
2026-03-22 00:37:48,19.0,1
2026-03-22 00:37:50,18.8,1
2026-03-22 00:37:52,18.5,1
2026-03-22 00:37:54,18.3,1
2026-03-22 00:37:56,18.0,1
2026-03-22 00:37:58,17.7,1
2026-03-22 00:38:00,17.3,1
2026-03-22 00:38:02,17.0,1
2026-03-22 00:38:04,16.6,1
2026-03-22 00:38:06,16.2,1
2026-03-22 00:38:08,15.8,1
2026-03-22 00:38:10,15.3,1
2026-03-22 00:38:12,14.9,1
2026-03-22 00:38:14,14.4,1
2026-03-22 00:38:16,13.9,1
2026-03-22 00:38:18,13.4,1
2026-03-22 00:38:20,12.9,1
2026-03-22 00:38:22,12.3,1
2026-03-22 00:38:24,11.8,1
2026-03-22 00:38:26,11.2,1
2026-03-22 00:38:28,10.6,1
2026-03-22 00:38:30,10.0,1
2026-03-22 00:38:32,9.4,1
2026-03-22 00:38:34,8.8,1
2026-03-22 00:38:36,8.1,1
2026-03-22 00:38:38,7.5,1
2026-03-22 00:38:40,6.8,1
2026-03-22 00:38:42,6.2,1
2026-03-22 00:38:44,5.5,1
2026-03-22 00:38:47,4.5,1
2026-03-22 00:38:48,4.2,1
2026-03-22 00:38:50,3.5,1
2026-03-22 00:38:52,2.8,1
2026-03-22 00:38:54,2.1,1
2026-03-22 00:38:56,1.4,1
2026-03-22 00:38:58,0.7,1
2026-03-22 00:39:00,0.0,1
2026-03-22 00:39:02,-0.7,1
2026-03-22 00:39:04,-1.4,1
2026-03-22 00:39:06,-2.1,1
2026-03-22 00:39:08,-2.8,1
2026-03-22 00:39:10,-3.5,1
2026-03-22 00:39:12,-4.2,1
2026-03-22 00:39:14,-4.8,1
2026-03-22 00:39:16,-5.5,1
2026-03-22 00:39:18,-6.2,1
2026-03-22 00:39:20,-6.8,1
2026-03-22 00:39:22,-7.5,1
2026-03-22 00:39:24,-8.1,1
2026-03-22 00:39:26,-8.8,1
2026-03-22 00:39:28,-9.4,1
2026-03-22 00:39:30,-10.0,1
2026-03-22 00:39:32,-10.6,1
2026-03-22 00:39:34,-11.2,1
2026-03-22 00:39:36,-11.8,1
2026-03-22 00:39:38,-12.3,1
2026-03-22 00:39:40,-12.9,1
2026-03-22 00:39:42,-13.4,1
2026-03-22 00:39:44,-13.9,1
2026-03-22 00:39:46,-14.4,1
2026-03-22 00:39:48,-14.9,1
2026-03-22 00:39:50,-15.3,1
2026-03-22 00:39:52,-15.8,1
2026-03-22 00:39:54,-16.2,1
2026-03-22 00:39:56,-16.6,1
2026-03-22 00:39:58,-17.0,1
2026-03-22 00:40:00,-17.3,0
2026-03-22 00:40:02,-17.7,0
2026-03-22 00:40:04,-18.0,0
2026-03-22 00:40:06,-18.3,0
2026-03-22 00:40:08,-18.5,0
2026-03-22 00:40:10,-18.8,0
2026-03-22 00:40:12,-19.0,0
2026-03-22 00:40:14,-19.2,0
2026-03-22 00:40:16,-19.4,0
2026-03-22 00:40:18,-19.6,0
2026-03-22 00:40:20,-19.7,0
2026-03-22 00:40:22,-19.8,0
2026-03-22 00:40:24,-19.9,0
2026-03-22 00:40:26,-19.9,0
2026-03-22 00:40:28,-20.0,0
2026-03-22 00:40:30,-20.0,0
2026-03-22 00:40:32,-20.0,0
2026-03-22 00:40:34,-19.9,0
2026-03-22 00:40:36,-19.9,0
2026-03-22 00:40:38,-19.8,0
2026-03-22 00:40:40,-19.7,0
2026-03-22 00:40:42,-19.6,0
2026-03-22 00:40:44,-19.4,0
2026-03-22 00:40:46,-19.2,0
2026-03-22 00:40:48,-19.0,0
2026-03-22 00:40:50,-18.8,0
2026-03-22 00:40:52,-18.5,0
2026-03-22 00:40:54,-18.3,0
2026-03-22 00:40:56,-18.0,0
2026-03-22 00:40:58,-17.7,0
2026-03-22 00:41:00,-17.3,0
2026-03-22 00:41:02,-17.0,0
2026-03-22 00:41:04,-16.6,0
2026-03-22 00:41:06,-16.2,0
2026-03-22 00:41:08,-15.8,0
2026-03-22 00:41:10,-15.3,0
2026-03-22 00:41:12,-14.9,0
2026-03-22 00:41:14,-14.4,0
2026-03-22 00:41:16,-13.9,0
2026-03-22 00:41:18,-13.4,0
2026-03-22 00:41:20,-12.9,0
2026-03-22 00:41:22,-12.3,0
2026-03-22 00:41:24,-11.8,0
2026-03-22 00:41:26,-11.2,0
2026-03-22 00:41:28,-10.6,0
2026-03-22 00:41:30,-10.0,0
2026-03-22 00:41:32,-9.4,0
2026-03-22 00:41:34,-8.8,0
2026-03-22 00:41:36,-8.1,0
2026-03-22 00:41:38,-7.5,0
2026-03-22 00:41:40,-6.8,1
2026-03-22 00:41:42,-6.2,1
2026-03-22 00:41:44,-5.5,1
2026-03-22 00:41:46,-4.8,1
2026-03-22 00:41:48,-4.2,1
2026-03-22 00:41:50,-3.5,1
2026-03-22 00:41:52,-2.8,1
2026-03-22 00:41:54,-2.1,1
2026-03-22 00:41:56,-1.4,1
2026-03-22 00:41:58,-0.7,1
2026-03-22 00:42:00,0.0,1
2026-03-22 00:42:02,0.7,1
2026-03-22 00:42:04,1.4,1
2026-03-22 00:42:06,2.1,1
2026-03-22 00:42:08,2.8,1
2026-03-22 00:42:10,3.5,1
2026-03-22 00:42:12,4.2,1
2026-03-22 00:42:14,4.8,1
2026-03-22 00:42:16,5.5,1
2026-03-22 00:42:18,6.2,1
2026-03-22 00:42:20,6.8,1
2026-03-22 00:42:22,7.5,1
2026-03-22 00:42:24,8.1,1
2026-03-22 00:42:26,8.8,1
2026-03-22 00:42:28,9.4,1
2026-03-22 00:42:30,10.0,1
2026-03-22 00:42:32,10.6,1
2026-03-22 00:42:34,11.2,1
2026-03-22 00:42:36,11.8,1
2026-03-22 00:42:38,12.3,1
2026-03-22 00:42:40,12.9,1
2026-03-22 00:42:42,13.4,1
2026-03-22 00:42:44,13.9,1
2026-03-22 00:42:46,14.4,1
2026-03-22 00:42:48,14.9,1
2026-03-22 00:42:50,15.3,1
2026-03-22 00:42:52,15.8,1
2026-03-22 00:42:54,16.2,1
2026-03-22 00:42:56,16.6,1
2026-03-22 00:42:58,17.0,1
2026-03-22 00:43:00,17.3,1
2026-03-22 00:43:02,17.7,1
2026-03-22 00:43:04,18.0,1
2026-03-22 00:43:06,18.3,1
2026-03-22 00:43:08,18.5,1
2026-03-22 00:43:10,18.8,1
2026-03-22 00:43:12,19.0,1
2026-03-22 00:43:14,19.2,1
2026-03-22 00:43:16,19.4,1
2026-03-22 00:43:18,19.6,1
2026-03-22 00:43:20,19.7,1
2026-03-22 00:43:22,19.8,1
2026-03-22 00:43:24,19.9,1
2026-03-22 00:43:26,19.9,1
2026-03-22 00:43:28,20.0,1
2026-03-22 00:43:30,20.0,1
2026-03-22 00:43:32,20.0,1
2026-03-22 00:43:34,19.9,1
2026-03-22 00:43:36,19.9,1
2026-03-22 00:43:38,19.8,1
